APDEKSTCAPTOFF,AP,apdstcp1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GQM78M2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDHCPSRV1,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 22 5e 08 5e da db fa-62 99 86 e4 42 9b 39 d9,5/22/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
APDHCPSRV2,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 22 80 fb d6 31 91 df-8e 5f 21 3f 4d c0 1b 9d,5/23/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
APDINAMAIRED1,AP,aphmdhl2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3070,3XHKX53,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDINAMAITRED,AP,aphdclk,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7DB9X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-DIN-CRWNGRIL,AP,APHWCRG,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G8LHX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDINDAVINCI,AP,aphwadm,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7FY5X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDINLAP5,AP,aphdclk,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 7480,HDYWVT2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDINMAITRED,AP,aphmdhl1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7BK9X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-DIN-MICNGELO,AP,aphwadm,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7JF4X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-DIN-RSRVLAP,AP,aphdclk,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 7480,HFBDRQ2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-DIN-SABATINI,AP,aphwsab,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7JS2X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-DKSIDELAP,AP,dockside,Yes,5.00.9078.1006,GrandPrincess,Dell Inc.,Latitude 5400,32QZK33,5/1/2023,Microsoft Windows 10 Enterprise,10.0.18363
AP-DOCK-PRTLAP,AP,Dockside,Yes,5.00.9078.1006,GrandPrincess,Dell Inc.,Latitude 7480,7F1R0Z2,5/13/2023,Microsoft Windows 10 Enterprise,10.0.19044
APEHD,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 16 c0 cc be 92 e8-91 3f 75 24 f4 49 2c 54,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APELC1ETOOFF1,AP,apt1eto1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7CV2X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELC2ETCOFF1,AP,apt2etc1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,CJM7X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELC2ETOOFF1,AP,apt2eto1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7D39X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCBRDMGR1,AP,aptbmgr1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7CX1X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCBRDMGR2,AP,aptbmgr2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7CC9X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCBRDMGR3,AP,aptbmgr2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,9HNJXK2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCSETOOFF1,AP,aptseto1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GR828M2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCWEBCAM1,AP,webcam,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7BP9X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APELCWRKSHOP1,AP,apt2eto1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7HD1X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APENTCDIROFF1,AP,aphcmgr1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7G02X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APENTCDIROFF2,AP,aphcdir1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GQN18M2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APENTCRSTFFOFF1,AP,aphjacd1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G8RCX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-ENT-DIR,AP,aphentd1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7927X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APENTEXPLLAP1,AP,production,Yes,5.00.9078.1006,GrandPrincess,Dell Inc.,Latitude 5400,5XTRF13,3/28/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-ENT-FWDPLAN,AP,aphcmgr1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 5420,34BR3J3,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-ENT-PRODMGR,AP,aphprod1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,CKY8X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APENTYAMOFF1,AP,aphyam1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7JW3X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-EPO,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 4e 51 58 fb 00 6d-21 a3 dc 97 a9 b5 b7 86,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
APEXCHANGE,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 ec c5 65 ae ac 21-6b 82 67 03 0f d6 5f 7c,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
AP-FNB-ASSTFNB,AP,aphhimg1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,78V1X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBASTPRVOFF1,AP,aphprov1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7FV1X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBBARAGCLAP1,AP,aphdclk,Yes,5.00.9078.1006,GrandPrincess,Dell Inc.,Latitude 5400,37VRF13,5/4/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBBARAGCLAP2,AP,aphafbd1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 5400,63RKP13,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-FNB-BARMGR,AP,aphafbd1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G87MX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
